time_sec,timestamp_utc,role,mmsi,name,x_nm,y_nm,lat,lon,sog_kn,cog_deg,heading_deg,message_type,expected_level,computed_level,cpa_nm,tcpa_sec,source,raw_aivdm,rx_signalpower_db,rx_ppm,rx_timestamp_raw
0.0,,own,999510000,OWN SHIP,0.0,0.0,-37.884,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
0.0,,target,999510101,CROSS STBD,0.7,0.525,-37.87525,144.96478186121547,12.0,270.0,270.0,18,danger,danger,1.5700924586837752e-16,210.0,synthetic,,,,
1.0,,own,999510000,OWN SHIP,0.0,0.0025,-37.88395833333333,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
1.0,,target,999510101,CROSS STBD,0.6966666666666667,0.525,-37.87525,144.96471147140016,12.0,270.0,270.0,18,danger,danger,0.0,209.0,synthetic,,,,
2.0,,own,999510000,OWN SHIP,0.0,0.005,-37.883916666666664,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
2.0,,target,999510101,CROSS STBD,0.6933333333333332,0.525,-37.87525,144.96464108158483,12.0,270.0,270.0,18,danger,danger,0.0,207.99999999999997,synthetic,,,,
3.0,,own,999510000,OWN SHIP,0.0,0.0075,-37.883875,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
3.0,,target,999510101,CROSS STBD,0.69,0.525,-37.87525,144.96457069176952,12.0,270.0,270.0,18,danger,danger,1.1102230246251565e-16,207.0,synthetic,,,,
4.0,,own,999510000,OWN SHIP,0.0,0.01,-37.883833333333335,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
4.0,,target,999510101,CROSS STBD,0.6866666666666666,0.525,-37.87525,144.96450030195422,12.0,270.0,270.0,18,danger,danger,1.5700924586837752e-16,206.0,synthetic,,,,
5.0,,own,999510000,OWN SHIP,0.0,0.0125,-37.88379166666667,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
5.0,,target,999510101,CROSS STBD,0.6833333333333332,0.525,-37.87525,144.9644299121389,12.0,270.0,270.0,18,danger,danger,0.0,204.99999999999997,synthetic,,,,
6.0,,own,999510000,OWN SHIP,0.0,0.015,-37.88375,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
6.0,,target,999510101,CROSS STBD,0.6799999999999999,0.525,-37.87525,144.9643595223236,12.0,270.0,270.0,18,danger,danger,0.0,203.99999999999997,synthetic,,,,
7.0,,own,999510000,OWN SHIP,0.0,0.0175,-37.88370833333333,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
7.0,,target,999510101,CROSS STBD,0.6766666666666666,0.525,-37.87525,144.96428913250827,12.0,270.0,270.0,18,danger,danger,1.1102230246251565e-16,203.0,synthetic,,,,
8.0,,own,999510000,OWN SHIP,0.0,0.02,-37.88366666666667,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
8.0,,target,999510101,CROSS STBD,0.6733333333333333,0.525,-37.87525,144.96421874269296,12.0,270.0,270.0,18,danger,danger,1.1102230246251565e-16,202.0,synthetic,,,,
9.0,,own,999510000,OWN SHIP,0.0,0.0225,-37.883625,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
9.0,,target,999510101,CROSS STBD,0.6699999999999999,0.525,-37.87525,144.96414835287766,12.0,270.0,270.0,18,danger,danger,0.0,200.99999999999997,synthetic,,,,
10.0,,own,999510000,OWN SHIP,0.0,0.025,-37.883583333333334,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
10.0,,target,999510101,CROSS STBD,0.6666666666666666,0.525,-37.87525,144.96407796306235,12.0,270.0,270.0,18,danger,danger,0.0,199.99999999999997,synthetic,,,,
11.0,,own,999510000,OWN SHIP,0.0,0.0275,-37.883541666666666,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
11.0,,target,999510101,CROSS STBD,0.6633333333333333,0.525,-37.87525,144.96400757324705,12.0,270.0,270.0,18,danger,danger,1.1102230246251565e-16,199.0,synthetic,,,,
12.0,,own,999510000,OWN SHIP,0.0,0.03,-37.8835,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
12.0,,target,999510101,CROSS STBD,0.6599999999999999,0.525,-37.87525,144.9639371834317,12.0,270.0,270.0,18,danger,danger,5.551115123125783e-17,197.99999999999997,synthetic,,,,
13.0,,own,999510000,OWN SHIP,0.0,0.0325,-37.88345833333334,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
13.0,,target,999510101,CROSS STBD,0.6566666666666666,0.525,-37.87525,144.9638667936164,12.0,270.0,270.0,18,danger,danger,0.0,196.99999999999997,synthetic,,,,
14.0,,own,999510000,OWN SHIP,0.0,0.035,-37.88341666666667,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
14.0,,target,999510101,CROSS STBD,0.6533333333333333,0.525,-37.87525,144.9637964038011,12.0,270.0,270.0,18,danger,danger,5.551115123125783e-17,195.99999999999997,synthetic,,,,
15.0,,own,999510000,OWN SHIP,0.0,0.0375,-37.883375,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
15.0,,target,999510101,CROSS STBD,0.6499999999999999,0.525,-37.87525,144.9637260139858,12.0,270.0,270.0,18,danger,danger,0.0,194.99999999999997,synthetic,,,,
16.0,,own,999510000,OWN SHIP,0.0,0.04,-37.88333333333333,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
16.0,,target,999510101,CROSS STBD,0.6466666666666666,0.525,-37.87525,144.96365562417049,12.0,270.0,270.0,18,danger,danger,0.0,193.99999999999997,synthetic,,,,
17.0,,own,999510000,OWN SHIP,0.0,0.0425,-37.883291666666665,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
17.0,,target,999510101,CROSS STBD,0.6433333333333333,0.525,-37.87525,144.96358523435515,12.0,270.0,270.0,18,danger,danger,0.0,192.99999999999997,synthetic,,,,
18.0,,own,999510000,OWN SHIP,0.0,0.045,-37.883250000000004,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
18.0,,target,999510101,CROSS STBD,0.6399999999999999,0.525,-37.87525,144.96351484453984,12.0,270.0,270.0,18,danger,danger,1.1102230246251565e-16,191.99999999999994,synthetic,,,,
19.0,,own,999510000,OWN SHIP,0.0,0.0475,-37.883208333333336,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
19.0,,target,999510101,CROSS STBD,0.6366666666666666,0.525,-37.87525,144.96344445472454,12.0,270.0,270.0,18,danger,danger,0.0,190.99999999999997,synthetic,,,,
20.0,,own,999510000,OWN SHIP,0.0,0.05,-37.88316666666667,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
20.0,,target,999510101,CROSS STBD,0.6333333333333333,0.525,-37.87525,144.96337406490923,12.0,270.0,270.0,18,danger,danger,1.2412670766236366e-16,190.0,synthetic,,,,
21.0,,own,999510000,OWN SHIP,0.0,0.0525,-37.883125,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
21.0,,target,999510101,CROSS STBD,0.6299999999999999,0.525,-37.87525,144.96330367509393,12.0,270.0,270.0,18,danger,danger,0.0,188.99999999999997,synthetic,,,,
22.0,,own,999510000,OWN SHIP,0.0,0.055,-37.88308333333333,144.95,9.0,0.0,0.0,1,,,,,synthetic,,,,
22.0,,target,999510101,CROSS STBD,0.6266666666666666,0.525,-37.87525,144.9632332852786,12.0,270.0,270.0,18,danger,danger,0.0,187.99999999999997,synthetic,,,,
