time_sec,local_time,label,source
0,03:53:00,再生開始：Helge南下、Sola出港後の増速,p.17 / model
267,03:57:27,"報告書：船首間距離 約2,720m",figure 13
303,03:58:03,SolaがVTSに接近船の識別を問い合わせ,p.22
354,03:58:54,VTSがAISのないレーダー目標を追跡,p.23
362,03:59:02,Solaが信号灯で注意喚起,p.23
381,03:59:21,Sola：000°への変針指令,p.24
390,03:59:30,Helge：左への変針開始,p.24
407,03:59:47,VTS：接近船はHelge Ingstadの可能性と伝達,p.25
416,03:59:56,SolaがHelgeを船名で呼び出す,p.25
428,04:00:08,Sola：直ちに右転するよう要求,p.25
431,04:00:11,Helge：照明のある物体へ近づくと考え右転を拒む,pp.25-26
447,04:00:27,Helge：右舷のプラットフォーム通過後に右転すると応答,p.26
450,04:00:30,Sola：機関停止の指令（船は直ちには停止しない）,p.27
464,04:00:44,VTS：接近への対処を要求,p.27
470,04:00:50,Sola：全速後進の指令,p.27
483,04:01:03,VTS：衝突するとの警告,p.27
495,04:01:15,衝突時刻・再生終了。接触位置はモデルの仮定,p.28 / model
