time_sec,timestamp_utc,role,mmsi,name,x_nm,y_nm,lat,lon,sog_kn,cog_deg,heading_deg,message_type,expected_level,computed_level,cpa_nm,tcpa_sec,source,raw_aivdm,rx_signalpower_db,rx_ppm,rx_timestamp_raw
0.0,,own,999510000,OWN SHIP,0.0,0.0,-38.05,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,
0.0,,target,999510101,CROSS STBD,0.7,0.525,-38.04125,144.8648153192387,12.0,270.0,270.0,18,danger,danger,1.5700924586837752e-16,210.0,synthetic,,,,
0.0,,target,999510201,SAFE PASS,2.0,2.0,-38.016666666666666,144.8923294835391,8.0,180.0,180.0,18,safe,safe,2.0,423.52941176470586,synthetic,,,,
1.0,,own,999510000,OWN SHIP,0.0,0.0025,-38.04995833333333,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,
1.0,,target,999510101,CROSS STBD,0.6966666666666667,0.525,-38.04125,144.86474477009943,12.0,270.0,270.0,18,danger,danger,0.0,209.0,synthetic,,,,
1.0,,target,999510201,SAFE PASS,2.0,1.9977777777777779,-38.0167037037037,144.8923294835391,8.0,180.0,180.0,18,safe,safe,2.0,422.5294117647059,synthetic,,,,
2.0,,own,999510000,OWN SHIP,0.0,0.005,-38.04991666666666,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,
2.0,,target,999510101,CROSS STBD,0.6933333333333332,0.525,-38.04125,144.8646742209602,12.0,270.0,270.0,18,danger,danger,0.0,207.99999999999997,synthetic,,,,
2.0,,target,999510201,SAFE PASS,2.0,1.9955555555555555,-38.01674074074074,144.8923294835391,8.0,180.0,180.0,18,safe,safe,2.0,421.5294117647059,synthetic,,,,
3.0,,own,999510000,OWN SHIP,0.0,0.0075,-38.049875,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,
3.0,,target,999510101,CROSS STBD,0.69,0.525,-38.04125,144.864603671821,12.0,270.0,270.0,18,danger,danger,1.1102230246251565e-16,207.0,synthetic,,,,
3.0,,target,999510201,SAFE PASS,2.0,1.9933333333333334,-38.016777777777776,144.8923294835391,8.0,180.0,180.0,18,safe,safe,2.0,420.52941176470586,synthetic,,,,
4.0,,own,999510000,OWN SHIP,0.0,0.01,-38.04983333333333,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,
4.0,,target,999510101,CROSS STBD,0.6866666666666666,0.525,-38.04125,144.86453312268176,12.0,270.0,270.0,18,danger,danger,1.5700924586837752e-16,206.0,synthetic,,,,
4.0,,target,999510201,SAFE PASS,2.0,1.991111111111111,-38.016814814814815,144.8923294835391,8.0,180.0,180.0,18,safe,safe,2.0,419.52941176470586,synthetic,,,,
5.0,,own,999510000,OWN SHIP,0.0,0.0125,-38.049791666666664,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,
5.0,,target,999510101,CROSS STBD,0.6833333333333332,0.525,-38.04125,144.8644625735425,12.0,270.0,270.0,18,danger,danger,0.0,204.99999999999997,synthetic,,,,
5.0,,target,999510201,SAFE PASS,2.0,1.988888888888889,-38.01685185185185,144.8923294835391,8.0,180.0,180.0,18,safe,safe,2.0,418.52941176470586,synthetic,,,,
6.0,,own,999510000,OWN SHIP,0.0,0.015,-38.049749999999996,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,
6.0,,target,999510101,CROSS STBD,0.6799999999999999,0.525,-38.04125,144.8643920244033,12.0,270.0,270.0,18,danger,danger,0.0,203.99999999999997,synthetic,,,,
6.0,,target,999510201,SAFE PASS,2.0,1.9866666666666666,-38.016888888888886,144.8923294835391,8.0,180.0,180.0,18,safe,safe,2.0,417.52941176470586,synthetic,,,,
7.0,,own,999510000,OWN SHIP,0.0,0.0175,-38.04970833333333,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,
7.0,,target,999510101,CROSS STBD,0.6766666666666666,0.525,-38.04125,144.86432147526406,12.0,270.0,270.0,18,danger,danger,1.1102230246251565e-16,203.0,synthetic,,,,
7.0,,target,999510201,SAFE PASS,2.0,1.9844444444444445,-38.016925925925925,144.8923294835391,8.0,180.0,180.0,18,safe,safe,2.0,416.5294117647058,synthetic,,,,
8.0,,own,999510000,OWN SHIP,0.0,0.02,-38.04966666666667,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,
8.0,,target,999510101,CROSS STBD,0.6733333333333333,0.525,-38.04125,144.8642509261248,12.0,270.0,270.0,18,danger,danger,1.1102230246251565e-16,202.0,synthetic,,,,
8.0,,target,999510201,SAFE PASS,2.0,1.9822222222222223,-38.01696296296296,144.8923294835391,8.0,180.0,180.0,18,safe,safe,2.0,415.52941176470586,synthetic,,,,
9.0,,own,999510000,OWN SHIP,0.0,0.0225,-38.049625,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,
9.0,,target,999510101,CROSS STBD,0.6699999999999999,0.525,-38.04125,144.8641803769856,12.0,270.0,270.0,18,danger,danger,0.0,200.99999999999997,synthetic,,,,
9.0,,target,999510201,SAFE PASS,2.0,1.98,-38.016999999999996,144.8923294835391,8.0,180.0,180.0,18,safe,safe,2.0,414.52941176470586,synthetic,,,,
10.0,,own,999510000,OWN SHIP,0.0,0.025,-38.04958333333333,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,
