time_sec,timestamp_utc,role,mmsi,name,x_nm,y_nm,lat,lon,sog_kn,cog_deg,heading_deg,message_type,expected_level,computed_level,cpa_nm,tcpa_sec,source,raw_aivdm,rx_signalpower_db,rx_ppm,rx_timestamp_raw
0.0,,own,999510000,OWN SHIP,0.0,0.0,-38.05,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
0.0,,target,999510401,OVERTAKEN,0.2,0.8,-38.03666666666666,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,360.0,synthetic,,,,
1.0,,own,999510000,OWN SHIP,0.0,0.0044444444444444444,-38.049925925925926,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
1.0,,target,999510401,OVERTAKEN,0.2,0.8022222222222223,-38.03662962962963,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,359.0,synthetic,,,,
2.0,,own,999510000,OWN SHIP,0.0,0.008888888888888889,-38.04985185185185,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
2.0,,target,999510401,OVERTAKEN,0.2,0.8044444444444445,-38.03659259259259,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,358.00000000000006,synthetic,,,,
3.0,,own,999510000,OWN SHIP,0.0,0.013333333333333332,-38.04977777777778,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
3.0,,target,999510401,OVERTAKEN,0.2,0.8066666666666668,-38.03655555555555,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,357.00000000000006,synthetic,,,,
4.0,,own,999510000,OWN SHIP,0.0,0.017777777777777778,-38.0497037037037,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
4.0,,target,999510401,OVERTAKEN,0.2,0.8088888888888889,-38.03651851851851,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,356.0,synthetic,,,,
5.0,,own,999510000,OWN SHIP,0.0,0.022222222222222223,-38.04962962962963,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
5.0,,target,999510401,OVERTAKEN,0.2,0.8111111111111111,-38.03648148148148,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,354.99999999999994,synthetic,,,,
6.0,,own,999510000,OWN SHIP,0.0,0.026666666666666665,-38.04955555555555,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
6.0,,target,999510401,OVERTAKEN,0.2,0.8133333333333334,-38.03644444444444,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,354.0,synthetic,,,,
7.0,,own,999510000,OWN SHIP,0.0,0.03111111111111111,-38.04948148148148,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
7.0,,target,999510401,OVERTAKEN,0.2,0.8155555555555556,-38.0364074074074,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,353.00000000000006,synthetic,,,,
8.0,,own,999510000,OWN SHIP,0.0,0.035555555555555556,-38.04940740740741,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
8.0,,target,999510401,OVERTAKEN,0.2,0.8177777777777778,-38.03637037037037,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,352.00000000000006,synthetic,,,,
9.0,,own,999510000,OWN SHIP,0.0,0.04,-38.04933333333333,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
9.0,,target,999510401,OVERTAKEN,0.2,0.8200000000000001,-38.03633333333333,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,351.0,synthetic,,,,
10.0,,own,999510000,OWN SHIP,0.0,0.044444444444444446,-38.04925925925926,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
10.0,,target,999510401,OVERTAKEN,0.2,0.8222222222222223,-38.03629629629629,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,350.00000000000006,synthetic,,,,
11.0,,own,999510000,OWN SHIP,0.0,0.04888888888888889,-38.04918518518518,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
11.0,,target,999510401,OVERTAKEN,0.2,0.8244444444444445,-38.03625925925925,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,349.00000000000006,synthetic,,,,
12.0,,own,999510000,OWN SHIP,0.0,0.05333333333333333,-38.04911111111111,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
12.0,,target,999510401,OVERTAKEN,0.2,0.8266666666666667,-38.03622222222222,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,348.0,synthetic,,,,
13.0,,own,999510000,OWN SHIP,0.0,0.057777777777777775,-38.04903703703703,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
13.0,,target,999510401,OVERTAKEN,0.2,0.8288888888888889,-38.03618518518518,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,347.0,synthetic,,,,
14.0,,own,999510000,OWN SHIP,0.0,0.06222222222222222,-38.04896296296296,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
14.0,,target,999510401,OVERTAKEN,0.2,0.8311111111111111,-38.03614814814814,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,346.0,synthetic,,,,
15.0,,own,999510000,OWN SHIP,0.0,0.06666666666666667,-38.04888888888889,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
15.0,,target,999510401,OVERTAKEN,0.2,0.8333333333333334,-38.03611111111111,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,345.0,synthetic,,,,
16.0,,own,999510000,OWN SHIP,0.0,0.07111111111111111,-38.04881481481481,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
16.0,,target,999510401,OVERTAKEN,0.2,0.8355555555555556,-38.03607407407407,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,344.0,synthetic,,,,
17.0,,own,999510000,OWN SHIP,0.0,0.07555555555555556,-38.04874074074074,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
17.0,,target,999510401,OVERTAKEN,0.2,0.8377777777777778,-38.03603703703703,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,343.0,synthetic,,,,
18.0,,own,999510000,OWN SHIP,0.0,0.08,-38.04866666666666,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
18.0,,target,999510401,OVERTAKEN,0.2,0.8400000000000001,-38.035999999999994,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,342.00000000000006,synthetic,,,,
19.0,,own,999510000,OWN SHIP,0.0,0.08444444444444445,-38.04859259259259,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
19.0,,target,999510401,OVERTAKEN,0.2,0.8422222222222223,-38.03596296296296,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,341.0,synthetic,,,,
20.0,,own,999510000,OWN SHIP,0.0,0.08888888888888889,-38.04851851851851,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
20.0,,target,999510401,OVERTAKEN,0.2,0.8444444444444444,-38.03592592592592,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,340.0,synthetic,,,,
21.0,,own,999510000,OWN SHIP,0.0,0.09333333333333334,-38.04844444444444,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
21.0,,target,999510401,OVERTAKEN,0.2,0.8466666666666667,-38.035888888888884,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,338.99999999999994,synthetic,,,,
22.0,,own,999510000,OWN SHIP,0.0,0.09777777777777778,-38.04837037037037,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
22.0,,target,999510401,OVERTAKEN,0.2,0.8488888888888889,-38.03585185185185,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,338.00000000000006,synthetic,,,,
23.0,,own,999510000,OWN SHIP,0.0,0.10222222222222223,-38.04829629629629,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
23.0,,target,999510401,OVERTAKEN,0.2,0.8511111111111112,-38.03581481481481,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,337.00000000000006,synthetic,,,,
24.0,,own,999510000,OWN SHIP,0.0,0.10666666666666666,-38.04822222222222,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
24.0,,target,999510401,OVERTAKEN,0.2,0.8533333333333334,-38.035777777777774,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,336.0,synthetic,,,,
25.0,,own,999510000,OWN SHIP,0.0,0.1111111111111111,-38.048148148148144,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
25.0,,target,999510401,OVERTAKEN,0.2,0.8555555555555556,-38.035740740740735,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,335.0,synthetic,,,,
26.0,,own,999510000,OWN SHIP,0.0,0.11555555555555555,-38.04807407407407,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
26.0,,target,999510401,OVERTAKEN,0.2,0.8577777777777779,-38.0357037037037,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,334.00000000000006,synthetic,,,,
27.0,,own,999510000,OWN SHIP,0.0,0.12,-38.047999999999995,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
27.0,,target,999510401,OVERTAKEN,0.2,0.8600000000000001,-38.035666666666664,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,333.00000000000006,synthetic,,,,
28.0,,own,999510000,OWN SHIP,0.0,0.12444444444444444,-38.047925925925924,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
28.0,,target,999510401,OVERTAKEN,0.2,0.8622222222222222,-38.035629629629625,144.8542329483539,8.0,0.0,0.0,18,caution,caution,0.2,332.0,synthetic,,,,
29.0,,own,999510000,OWN SHIP,0.0,0.1288888888888889,-38.047851851851846,144.85,16.0,0.0,0.0,1,,,,,synthetic,,,,
