safety_text,destination_mmsi,sequence_number,time_sec,timestamp_utc,role,mmsi,name,x_nm,y_nm,lat,lon,sog_kn,cog_deg,heading_deg,message_type,expected_level,computed_level,cpa_nm,tcpa_sec,source,raw_aivdm,rx_signalpower_db,rx_ppm,rx_timestamp_raw,ship_type,aton_type,aton_virtual,aton_off_position
,,0,0.0,,own,999510000,OWN SHIP,0.0,0.0,-38.05,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,,60,,False,False
,,0,0.0,,target,999510101,TEST VESSEL,0.7,0.525,-38.04125,144.8648153192387,12.0,270.0,270.0,1,,danger,1.5700924586837752e-16,210.0,synthetic,,,,,60,0,False,False
,,0,1.0,,own,999510000,OWN SHIP,0.0,0.0025,-38.04995833333333,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,,60,,False,False
,,0,1.0,,target,999510101,TEST VESSEL,0.6966666666666667,0.525,-38.04125,144.86474477009943,12.0,270.0,270.0,1,,danger,0.0,209.0,synthetic,,,,,60,0,False,False
,,0,2.0,,own,999510000,OWN SHIP,0.0,0.005,-38.04991666666666,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,,60,,False,False
,,0,2.0,,target,999510101,TEST VESSEL,0.6933333333333332,0.525,-38.04125,144.8646742209602,12.0,270.0,270.0,1,,danger,0.0,207.99999999999997,synthetic,,,,,60,0,False,False
,,0,3.0,,own,999510000,OWN SHIP,0.0,0.0075,-38.049875,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,,60,,False,False
,,0,3.0,,target,999510101,TEST VESSEL,0.69,0.525,-38.04125,144.864603671821,12.0,270.0,270.0,1,,danger,1.1102230246251565e-16,207.0,synthetic,,,,,60,0,False,False
,,0,4.0,,own,999510000,OWN SHIP,0.0,0.01,-38.04983333333333,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,,60,,False,False
,,0,4.0,,target,999510101,TEST VESSEL,0.6866666666666666,0.525,-38.04125,144.86453312268176,12.0,270.0,270.0,1,,danger,1.5700924586837752e-16,206.0,synthetic,,,,,60,0,False,False
,,0,5.0,,own,999510000,OWN SHIP,0.0,0.0125,-38.049791666666664,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,,60,,False,False
,,0,5.0,,target,999510101,TEST VESSEL,0.6833333333333332,0.525,-38.04125,144.8644625735425,12.0,270.0,270.0,1,,danger,0.0,204.99999999999997,synthetic,,,,,60,0,False,False
,,0,6.0,,own,999510000,OWN SHIP,0.0,0.015,-38.049749999999996,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,,60,,False,False
,,0,6.0,,target,999510101,TEST VESSEL,0.6799999999999999,0.525,-38.04125,144.8643920244033,12.0,270.0,270.0,1,,danger,0.0,203.99999999999997,synthetic,,,,,60,0,False,False
,,0,7.0,,own,999510000,OWN SHIP,0.0,0.0175,-38.04970833333333,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,,60,,False,False
,,0,7.0,,target,999510101,TEST VESSEL,0.6766666666666666,0.525,-38.04125,144.86432147526406,12.0,270.0,270.0,1,,danger,1.1102230246251565e-16,203.0,synthetic,,,,,60,0,False,False
,,0,8.0,,own,999510000,OWN SHIP,0.0,0.02,-38.04966666666667,144.85,9.0,0.0,0.0,1,,,,,synthetic,,,,,60,,False,False
,,0,8.0,,target,999510101,TEST VESSEL,0.6733333333333333,0.525,-38.04125,144.8642509261248,12.0,270.0,270.0,1,,danger,1.1102230246251565e-16,202.0,synthetic,,,,,60,0,False,False
